ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,128710,MENDOZA RED - CLOS DE LOS SIETE,3258691254579,0.75,1,14.5,26.99,0
Wine,France Wine,France White Wine,FRANCE,129522,MEURSAULT - OLIVIER CYROT BUTHIAU 2021,3945700800901,0.75,1,13,175.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,198077,SIDERAL - ALTAIR RAPEL VALLEY 2020,7804300134310,0.75,1,14.5,39.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,235521,GLENKINCHIE - 27 YO SPECIAL RELEASE 2023,88076188778,0.75,1,58.3,490,NA
Wine,France Wine,France Red Wine,FRANCE,258913,ST ESTEPHE - CHATEAU LES ORMES DE PEZ 2000,3448821604644,1.5,1,13,315.99,0
Spirits,Liqueurs,Fruit Liqueurs,FRANCE,283449,COINTREAU - NOIR,3035540006394,0.7,1,40,46.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,285580,FIVE VINEYARDS - SAUVIGNON BLANC 2024,776545502520,0.75,1,13.5,16.99,1
Spirits,Vodka,Straight Vodka,CANADA,314410,SILENT SAM - PET,82000806950,1.14,1,40,34.99,NA
Wine,France Wine,France Red Wine,FRANCE,348836,MOULIS - CHATEAU CHASSE SPLEEN 2022,,0.75,1,13,85,NA
Wine,France Wine,France Red Wine,FRANCE,372704,PESSAC LEOGNAN - CHATEAU HAUT BRION ROUGE 2022,696852223195,0.75,1,13,1600,NA
Wine,South Africa Wine,South Africa White Wine,SOUTH AFRICA,375709,BLOUBERG - STELLENBOSCH,83206000326,0.75,1,11.5,9.99,0
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,SOUTH AFRICA,425970,VIN DE CONSTANCE - KLEIN CONSTANTIA 2019,696852112369,1.5,1,14,329.99,NA
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,502054,PINOT GRIS - STONELEIGH MARLBOROUGH,9414505392163,0.75,1,13,18.99,1
Wine,France Wine,France Champagne Wine,FRANCE,514521,BAUCHET - CUVEE SEDUCTION BRUT ROSE,3423620440105,0.75,1,12.5,75.99,0
Wine,France Wine,France Red Wine,FRANCE,949453,CHATEAU MOUTON ROTHSCHILD 2013,,0.75,1,13,750,0
Refreshment Beverages,Coolers,Spirit Coolers,UNITED STATES OF AMERICA,1809,JOSE CUERVO - WHITE PEACH MARGARITA,811538011587,1.75,1,9.95,23.99,NA
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,51210,STEAMWORKS - FLAGSHIP 8 CAN,185902002618,0.355,8,6.7,17.99,NA
Wine,Italy Wine,Italy White Wine,ITALY,102764,PINOT GRIGIO DELLE VENEZIE - RUFFINO LUMINA,8001660197156,0.75,1,12.5,14.99,0
Wine,France Wine,France Red Wine,FRANCE,129572,CHAMBOLLE MUSIGNY 1ER CRU LES FUEES 2021,626990347538,0.75,1,13,135.97,0
Wine,France Wine,France Red Wine,FRANCE,133408,PAUILLAC - CHATEAU PICHON BARON 2018,,0.75,1,13,380,NA
Beer,Import Beer,Europe Beer,BELGIUM,161863,WESTMALLE - TRIPEL,5412343201337,0.33,1,9.5,5.39,NA
Wine,Spain Wine,Spain Red Wine,SPAIN,197806,CARINENA GARNACHA - CASTILLO DE MONSERAN,831906002788,0.75,1,13.5,11.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,258960,HIGH NOON - VODKA VARIETY CAN PACK,85000041048,0.355,8,4.5,24.29,NA
Wine,France Wine,France Red Wine,FRANCE,272597,PESSAC LEOGNAN - CHATEAU CARBONNIEUX ROUGE 2022,3609051347583,0.75,1,15,90,NA
Spirits,Whisky,Canadian Whisky,CANADA,304715,ALBERTA PREMIUM - BATCH 10 LEGACY RESERVE,80686007876,0.75,1,42,53.99,NA
Wine,Austria Wine,Austria Red Wine,AUSTRIA,336277,BURGENLAND BLAUFRANKISCH - HEIDI SCHROCK,696852075831,0.75,1,13.5,49.99,0
Wine,France Wine,France Rose Wine,FRANCE,347079,PAYS D'OC ROSE - PUECH HAUT ARGALI 2023,3760075212087,0.75,1,13,29.97,0
Wine,France Wine,France Red Wine,FRANCE,347714,PAUILLAC - CHATEAU MOUTON ROTHSCHILD 2020,3262156092750,0.75,1,13,1500,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,365679,SEE YA LATER RANCH - GEWURZTRAMINER 2024,63657046579,0.75,1,13,17.99,1
Wine,France Wine,France Red Wine,FRANCE,390928,HAUT MEDOC - CHATEAU CHARMAIL 2019,3760173790005,0.75,1,14,50,NA
Wine,France Wine,France Red Wine,FRANCE,425050,PESSAC LEOGNAN - CHATEAU DE FIEUZAL ROUGE 2021,696852224536,0.75,1,13,110,NA
Wine,France Wine,France Red Wine,FRANCE,450516,ST ESTEPHE - CHATEAU LAFON ROCHET 2021,3277038424758,0.75,1,13,100,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,451790,BASK - PINOT NOIR,63657043639,3,1,12.5,36.99,0
Wine,France Wine,France Fruit and Dessert Wine,FRANCE,485860,BANYULS - PIETRI GERAUD 1951 VINTAGE,7035991557502,0.75,1,16,275.99,9
Spirits,Rum,Spiced Rum,UNITED STATES OF AMERICA,786376,[REPACK] SAILOR JERRY - SPICED NAVY,83664871384,1.14,1,46,42.99,NA
